"Census Tract 4430.01, Alameda County, California",4430.01,"2,888","2,574",589,45,13,"1,474",1,452,314,297,7,37,78,4,153,1,6,0,1,3,0,0,4,1,2,15,0,1,0,4,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Census Tract 4430.02, Alameda County, California",4430.02,"6,650","6,100","1,175",73,35,"4,157",11,649,550,497,12,45,105,6,281,2,3,0,12,0,0,2,15,12,2,42,7,4,0,6,6,1,3,8,3,3,0,0,0,0,0,0,0,1,0,0,9,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
"Census Tract 4431.02, Alameda County, California",4431.02,"4,942","4,711",646,30,11,"3,913",25,86,231,217,3,12,96,5,79,0,4,0,0,6,0,1,6,5,0,13,0,0,0,0,0,0,0,3,6,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4431.03, Alameda County, California",4431.03,"3,972","3,842",424,13,2,"3,364",2,37,130,105,2,1,47,0,41,1,1,1,2,1,0,0,2,6,0,17,0,0,1,0,0,0,0,3,11,0,0,0,0,2,0,0,0,0,0,0,6,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0
"Census Tract 4431.04, Alameda County, California",4431.04,"5,901","5,623",696,34,21,"4,741",5,126,278,252,7,12,89,1,95,6,9,0,2,6,0,0,11,14,0,23,2,3,0,0,0,0,9,0,8,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4431.05, Alameda County, California",4431.05,"4,687","4,512",518,19,3,"3,946",3,23,175,165,2,4,90,1,44,1,1,0,0,0,1,1,11,8,1,10,0,0,0,2,0,2,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4432, Alameda County, California",4432,"3,553","3,367",541,23,2,"2,769",2,30,186,166,3,4,98,5,24,0,0,1,3,3,1,0,8,16,0,16,0,0,0,0,0,0,7,2,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4433.01, Alameda County, California",4433.01,"4,134","3,863",747,53,5,"2,961",10,87,271,244,4,8,89,5,99,0,6,1,4,2,3,0,12,11,0,24,2,0,0,6,0,1,7,1,6,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4433.21, Alameda County, California",4433.21,"3,511","3,401",300,36,12,"2,933",7,113,110,107,6,9,31,0,37,0,2,1,3,5,0,3,8,2,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4433.22, Alameda County, California",4433.22,"3,191","3,029",534,33,15,"2,374",1,72,162,132,4,19,53,0,36,0,5,4,4,0,0,0,2,4,1,29,5,3,0,0,0,3,3,0,7,0,2,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4441, Alameda County, California",4441,"7,703","6,618","2,443",208,64,"2,837",146,920,"1,085",981,32,65,210,11,536,5,29,1,7,7,0,17,35,20,6,99,9,11,0,4,14,0,20,13,18,2,1,0,0,4,1,0,0,0,0,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4442, Alameda County, California",4442,"6,451","5,516","1,643",163,103,"2,373",92,"1,142",935,849,25,45,215,15,453,4,15,0,14,3,1,10,25,11,13,74,0,7,1,3,7,4,25,10,10,0,0,0,3,0,1,0,0,3,0,0,12,2,0,1,2,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4443.01, Alameda County, California",4443.01,"3,617","3,159","1,108",110,53,"1,166",59,663,458,421,16,37,101,3,201,0,9,0,7,0,1,11,15,18,2,36,3,1,2,7,8,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4443.03, Alameda County, California",4443.03,5,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4443.04, Alameda County, California",4443.04,"7,202","6,449","1,065",272,71,"3,393",124,"1,524",753,695,27,30,126,21,380,2,17,2,20,0,2,13,22,28,5,56,10,2,0,5,6,0,19,3,9,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4444, Alameda County, California",4444,"5,282","4,598","1,130",194,102,"1,531",71,"1,570",684,657,14,42,77,1,442,2,8,3,12,4,0,9,31,11,1,22,1,3,0,2,0,0,9,0,1,1,0,0,0,0,3,0,0,2,0,0,5,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4445, Alameda County, California",4445,"6,414","5,553","1,170",262,109,"2,307",107,"1,598",861,804,44,30,123,8,484,3,6,4,9,0,1,39,30,20,3,49,9,6,0,0,3,2,17,7,2,0,0,0,2,0,0,0,0,0,0,1,5,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"Census Tract 4446.01, Alameda County, California",4446.01,"6,083","5,377","1,417",170,43,"3,033",86,628,706,635,23,44,154,24,310,4,19,1,5,0,1,5,24,15,6,65,5,1,0,6,5,1,21,8,15,3,0,0,0,0,0,0,0,0,0,0,6,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4446.02, Alameda County, California",4446.02,"4,777","4,447",786,205,15,"3,161",8,272,330,295,14,12,76,10,131,4,7,0,5,1,2,6,9,17,1,34,4,4,0,4,1,0,11,6,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4501.01, Alameda County, California",4501.01,"6,825","6,254","1,672",398,37,"3,863",15,269,571,506,41,39,171,5,163,7,12,5,13,0,1,12,17,18,2,52,4,4,1,0,4,2,14,11,7,0,0,1,0,1,2,0,1,0,0,0,13,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4501.02, Alameda County, California",4501.02,"8,660","8,205","3,697",502,276,"3,514",43,173,455,402,16,19,178,6,122,3,8,3,16,3,0,1,21,6,0,45,4,3,0,0,2,0,8,11,15,0,0,0,0,2,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4502, Alameda County, California",4502,"6,456","5,755","2,387",503,41,"2,453",29,342,701,644,54,39,227,6,244,6,12,8,6,1,0,2,23,12,4,51,9,3,0,0,5,1,20,9,1,0,1,0,0,0,0,0,2,0,0,0,6,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4503, Alameda County, California",4503,"5,548","4,899","2,477",209,31,"1,829",12,341,649,579,37,36,166,7,274,6,13,1,7,6,0,3,11,11,1,65,3,9,0,7,3,0,9,13,16,0,0,0,2,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4504, Alameda County, California",4504,"7,675","6,692","2,996",266,43,"2,709",42,636,983,888,45,80,209,16,433,12,17,2,17,6,1,6,25,16,3,77,7,5,0,0,6,0,16,18,20,1,2,0,0,2,0,0,0,0,0,0,18,10,0,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4505.01, Alameda County, California",4505.01,"3,278","2,878","1,665",50,7,995,17,144,400,370,16,41,134,2,154,5,3,0,4,1,0,0,5,5,0,25,4,2,0,6,0,0,6,0,4,0,0,0,0,0,1,0,0,0,2,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4505.02, Alameda County, California",4505.02,"5,754","5,144","2,203",149,22,"2,611",13,146,610,562,37,36,213,5,216,0,17,0,2,3,0,3,18,12,0,40,1,7,0,4,6,0,12,2,7,1,0,0,0,0,0,0,0,0,0,0,8,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4506.01, Alameda County, California",4506.01,"3,480","3,131","1,789",42,4,"1,209",10,77,349,329,10,21,116,2,159,3,6,0,2,0,0,2,4,1,3,20,0,4,0,2,0,0,5,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4506.03, Alameda County, California",4506.03,"4,905","4,352","2,286",72,13,"1,808",9,164,553,501,14,45,147,14,242,2,7,2,0,0,0,9,10,9,0,45,7,0,0,1,5,3,9,10,8,0,0,0,0,0,2,0,0,0,0,0,5,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"Census Tract 4506.04, Alameda County, California",4506.04,"4,898","4,362","2,692",25,15,"1,446",4,180,536,498,18,41,149,5,251,3,3,0,3,0,0,11,7,6,1,32,5,2,0,1,9,0,8,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4506.05, Alameda County, California",4506.05,"3,937","3,574","2,181",37,11,"1,255",6,84,363,334,9,27,116,5,158,2,8,3,0,0,1,2,0,3,0,26,0,1,0,3,5,0,3,6,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4506.06, Alameda County, California",4506.06,"6,026","5,522","3,043",59,18,"2,319",9,74,504,467,19,35,184,12,185,1,10,1,0,3,0,0,7,6,4,32,5,3,0,7,0,0,5,4,7,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Census Tract 4506.07, Alameda County, California",4506.07,"6,054","5,350","2,798",258,47,"1,793",9,445,704,640,49,59,154,9,327,0,4,4,10,1,0,9,9,5,0,58,20,7,2,5,5,0,8,0,8,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4506.08, Alameda County, California",4506.08,"4,141","3,739","1,818",61,17,"1,727",12,104,402,374,15,27,131,9,166,1,0,0,3,1,0,2,2,16,1,26,4,0,0,3,2,0,4,10,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4506.09, Alameda County, California",4506.09,"4,849","4,346","2,398",88,5,"1,742",14,99,503,461,22,29,147,14,209,1,7,0,0,1,0,4,13,9,5,34,3,1,2,3,2,0,11,8,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4507.01, Alameda County, California",4507.01,"8,271","7,490","4,040",122,26,"3,152",6,144,781,731,27,66,242,18,326,6,6,0,5,4,0,3,10,17,1,45,6,4,0,2,0,0,15,9,6,2,0,0,0,0,0,0,0,1,0,0,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Census Tract 4507.41, Alameda County, California",4507.41,"5,482","4,845","3,040",80,30,"1,163",22,510,637,577,26,45,140,6,319,5,7,0,8,3,0,9,4,3,2,58,5,5,0,11,6,8,8,1,12,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4507.42, Alameda County, California",4507.42,"5,439","4,873","2,940",96,25,"1,643",2,167,566,492,39,60,146,3,223,0,4,0,0,1,0,2,8,6,0,63,9,6,0,4,4,4,12,10,9,0,0,1,0,0,1,0,2,0,0,1,11,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4507.43, Alameda County, California",4507.43,"8,901","8,253","1,714",339,59,"5,635",16,490,648,585,39,34,150,6,271,7,16,1,10,6,0,12,22,11,0,52,1,2,3,0,1,2,17,9,16,0,0,0,1,0,0,0,0,0,0,0,10,1,0,3,0,0,0,1,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4507.44, Alameda County, California",4507.44,"5,987","5,506","2,978",51,9,"2,313",9,146,481,461,14,31,158,0,210,3,8,0,4,0,0,8,8,17,0,14,0,0,0,0,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4507.45, Alameda County, California",4507.45,"6,374","5,932","1,991",51,5,"3,734",1,150,442,397,27,40,105,4,181,5,5,0,8,1,0,4,10,7,0,34,5,8,1,7,1,1,5,1,2,0,0,0,0,0,2,0,0,0,0,1,11,1,0,1,2,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4507.46, Alameda County, California",4507.46,"3,238","2,923","1,731",24,20,"1,068",2,78,315,292,14,22,102,6,136,1,1,0,5,2,0,0,1,1,1,23,3,3,0,6,3,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4507.50, Alameda County, California",4507.50,"6,790","6,274","1,310",334,32,"4,303",16,279,516,466,41,26,186,4,145,12,12,0,10,0,0,1,6,23,0,41,3,4,1,1,8,0,10,1,7,1,2,0,0,0,3,0,0,0,0,0,9,1,1,1,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4507.51, Alameda County, California",4507.51,"12,411","11,705","1,524",271,9,"9,708",21,172,706,652,46,15,344,12,158,6,13,1,5,4,0,0,26,22,0,51,1,4,0,2,6,0,4,11,20,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Census Tract 4507.52, Alameda County, California",4507.52,"9,846","9,185","1,522",206,24,"7,245",13,175,661,592,35,23,283,4,185,2,8,0,11,4,0,0,19,18,0,58,1,12,0,5,11,0,5,2,16,1,0,1,0,0,0,0,0,1,0,3,8,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Census Tract 4511.02, Alameda County, California",4511.02,"3,955","3,443","2,824",34,2,493,7,83,512,461,7,57,124,4,251,6,1,0,0,0,0,2,4,5,0,46,6,4,0,3,0,0,14,9,7,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Census Tract 4511.03, Alameda County, California",4511.03,"1,480","1,325","1,062",37,7,173,0,46,155,145,2,18,34,5,82,0,0,0,1,1,0,0,2,0,0,7,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4511.04, Alameda County, California",4511.04,"7,028","6,133","3,754",187,56,"1,640",21,475,895,816,31,100,197,22,421,0,1,0,6,3,0,14,16,2,3,74,8,4,3,7,13,0,16,15,5,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4512.01, Alameda County, California",4512.01,"7,271","6,239","4,076",145,78,"1,403",24,513,"1,032",916,62,99,207,26,474,6,7,0,3,1,1,5,14,9,2,101,9,16,0,0,9,0,24,19,21,0,0,0,1,0,1,0,0,1,0,0,15,5,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4512.02, Alameda County, California",4512.02,"5,781","5,027","3,011",112,26,"1,486",17,375,754,671,49,51,160,19,340,1,12,0,3,0,0,11,7,18,0,74,4,5,3,3,2,2,17,18,12,0,0,0,1,0,0,3,0,0,0,4,9,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4513, Alameda County, California",4513,"6,435","5,434","4,096",86,71,644,16,521,"1,001",930,36,129,218,28,478,1,2,0,8,6,0,10,6,7,1,65,2,2,0,4,10,2,26,5,11,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4514.01, Alameda County, California",4514.01,"6,053","5,248","3,515",161,47,819,28,678,805,732,27,99,156,13,401,1,9,0,7,0,0,5,9,5,0,73,5,3,0,4,0,0,12,26,16,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4514.03, Alameda County, California",4514.03,"2,175","1,821","1,312",22,18,239,17,213,354,335,4,43,79,2,177,3,7,2,4,3,0,4,7,0,0,17,6,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4514.04, Alameda County, California",4514.04,"6,613","5,446","2,666",129,133,681,23,"1,814","1,167","1,093",34,84,123,20,763,3,9,1,18,0,0,23,8,5,2,64,10,1,0,3,7,0,19,7,10,1,0,0,5,1,0,0,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4515.01, Alameda County, California",4515.01,"4,920","4,288","3,098",133,32,691,7,327,632,589,35,63,160,0,293,1,6,1,0,0,0,12,12,4,2,40,9,2,0,1,4,1,11,0,11,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Census Tract 4515.03, Alameda County, California",4515.03,"6,520","5,571","3,864",160,48,871,19,609,949,885,35,89,173,21,517,3,11,0,12,0,0,8,11,4,1,58,7,5,0,4,2,0,15,12,8,0,3,0,0,2,0,0,0,0,0,0,6,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4515.04, Alameda County, California",4515.04,"1,657","1,420",970,70,10,219,5,146,237,211,8,22,47,1,115,0,8,0,3,0,0,3,2,2,0,16,1,1,0,0,4,2,1,2,4,0,0,0,0,0,0,0,0,0,0,1,10,3,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4515.05, Alameda County, California",4515.05,"3,177","2,719","2,328",25,28,263,1,74,458,426,18,38,99,5,244,8,0,0,3,1,2,4,4,0,0,26,1,2,0,0,3,0,8,11,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4515.06, Alameda County, California",4515.06,"3,123","2,616","1,553",126,58,309,6,564,507,463,35,38,81,9,245,2,7,1,10,2,0,8,9,10,6,39,0,0,2,1,4,0,25,1,1,0,4,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4516.01, Alameda County, California",4516.01,"5,003","4,330","3,563",89,11,432,7,228,673,615,23,83,140,10,340,1,6,0,0,0,3,3,5,0,1,53,0,13,2,3,2,3,17,3,8,0,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4516.02, Alameda County, California",4516.02,"6,631","5,826","4,634",104,45,597,13,433,805,722,23,79,163,21,392,6,4,0,9,2,0,3,12,6,2,80,8,1,0,9,10,0,27,13,9,1,1,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4517.01, Alameda County, California",4517.01,"3,270","2,787","2,070",39,14,402,17,245,483,445,29,45,123,17,200,0,3,0,7,2,1,3,12,3,0,33,6,0,0,0,0,0,3,15,6,2,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4517.03, Alameda County, California",4517.03,"3,952","3,398","2,477",53,17,706,8,137,554,521,20,45,110,11,304,4,6,0,1,0,1,0,8,11,0,26,4,4,0,0,1,1,3,4,3,2,0,0,0,1,0,0,3,0,0,0,6,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4517.04, Alameda County, California",4517.04,"4,572","3,997","3,030",46,45,649,13,214,575,535,22,68,156,16,244,2,9,0,0,1,2,0,1,12,2,39,1,3,0,3,1,0,10,4,5,7,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9819, Alameda County, California",9819,49,39,34,2,0,1,1,1,10,8,0,1,3,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9820, Alameda County, California",9820,206,185,91,30,4,15,12,33,21,16,1,0,1,0,3,3,0,1,0,2,1,0,0,4,0,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9821, Alameda County, California",9821,"1,044",958,475,74,0,309,0,100,86,77,7,4,45,1,15,0,0,0,0,0,0,2,0,0,3,7,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9832, Alameda County, California",9832,834,752,434,117,3,168,2,28,82,72,13,5,19,1,21,0,5,0,4,0,2,0,0,2,0,6,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9900, Alameda County, California",9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
